ID,course1,course2
1da702d51a0a1829bb1bc33011aec5f0,Statistical Learning Theory,Байесовские методы машинного обучения
39e61b4b01ae9201a1e0f89e36e7882e,Высокопроизводительные вычисления,-
93da3d13e0ae40a97367b0c16d497399,Принятие решений в условиях риска и неопределённости,-
c976c868dd660e792ab82ba8d9e02506,Высокопроизводительные вычисления,-
fe631bea98b075dd781e11df3987533b,Statistical Learning Theory,Моделирование временных рядов
f2e1cfc27a724879ac2a8c98004c14b0,Принятие решений в условиях риска и неопределённости,Глубинное обучение в обработке звука
6338b6eeb16faedc58d30d2f45c89a4c,Моделирование временных рядов,Сбор и обработка данных с помощью краудсорсинга
7fcf56aae6836855a689000a50e80360,???,???
3da8ee30604398faa671135cebe8f982,Statistical Learning Theory,-
48f0ae24c435e6d7330ffc82eec05483,Высокопроизводительные вычисления,-
31c9900033ce01dd1365a6b6a350c3bb,Анализ неструктурированных данных,Глубинное обучение в обработке звука
0c0cbdd1a309c1d1fd8993c4dc907bb5,???,???
573e2218c3fe3ffc1894edc12432d315,Statistical Learning Theory,Анализ неструктурированных данных
9a66d84568b8017d98eb2e678b57296b,Анализ неструктурированных данных,Глубинное обучение в обработке звука
f602211b88a96890ce75e36a390705b8,Анализ неструктурированных данных,Глубинное обучение в обработке звука
e3b41563b7ea61def9fdd3623df1c783,Анализ неструктурированных данных,Сбор и обработка данных с помощью краудсорсинга
7f98e4487c7a910567f2d841e5e764c3,Анализ неструктурированных данных,-
83981d0841bbb56201e68b2cba8dd87d,Высокопроизводительные вычисления,-
ffc04c64d068f8d85e4dc44e7f297ecc,Statistical Learning Theory,Байесовские методы машинного обучения
3d1f14bf03e6eee14d833c45ccff2283,Высокопроизводительные вычисления,-
fa61e55c68763160d0fffe57dab37af9,Анализ неструктурированных данных,???
e0a59b2b04663ea386d2cac7b876952e,Анализ неструктурированных данных,???
ba4091ee80dd63a042464dbd2a7e3363,???,-
aeb7bb1e047c392b7e5e39225cd86422,Анализ неструктурированных данных,-
75be5480aae801322ab8ee4b8f4517a3,Анализ неструктурированных данных,Глубинное обучение в обработке звука
5a733a19a3bdad95c1b5eac59c5b764b,Сбор и обработка данных с помощью краудсорсинга,-
